Wavelength	Actinic_flux	I2	IO	OIO	I2O2	I2O3	I2O4	I2O5	HOI	HI	INO2	INO3	Ibr	Icl	CH3I	CH2I2	CH2ICl	CH2IBr	C2H5I	nC3H7I	iC3H7I
3.21E+02	1.24E+14	0.00E+00	8.24E-21	0.00E+00	0.00E+00	0.00E+00	1.22E-18	2.96E-18	2.20E-19	3.71E-21	2.85E-19	4.02E-18	5.19E-20	3.98E-20	2.00E-21	2.36E-18	4.48E-20	1.57E-19	2.02E-21	2.70E-21	5.61E-21
3.22E+02	1.19E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.12E-18	2.73E-18	2.33E-19	3.36E-21	2.95E-19	4.01E-18	4.98E-20	3.94E-20	1.79E-21	2.28E-18	4.17E-20	1.47E-19	1.79E-21	2.42E-21	5.00E-21
3.23E+02	1.06E+14	0.00E+00	1.51E-19	0.00E+00	0.00E+00	0.00E+00	1.05E-18	2.52E-18	2.46E-19	3.03E-21	3.05E-19	3.99E-18	4.78E-20	3.91E-20	1.60E-21	2.19E-18	3.85E-20	1.36E-19	1.60E-21	2.18E-21	4.44E-21
3.24E+02	1.21E+14	0.00E+00	2.08E-20	0.00E+00	0.00E+00	0.00E+00	9.68E-19	2.33E-18	2.59E-19	2.74E-21	3.15E-19	3.98E-18	4.58E-20	3.87E-20	1.42E-21	2.11E-18	3.54E-20	1.26E-19	1.42E-21	1.96E-21	3.93E-21
3.25E+02	1.36E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	8.95E-19	2.16E-18	2.72E-19	2.47E-21	3.25E-19	3.96E-18	4.38E-20	3.84E-20	1.26E-21	2.03E-18	3.23E-20	1.15E-19	1.27E-21	1.77E-21	3.48E-21
3.26E+02	1.64E+14	0.00E+00	6.86E-20	0.00E+00	0.00E+00	0.00E+00	8.30E-19	2.00E-18	2.83E-19	2.23E-21	3.22E-19	3.93E-18	4.17E-20	3.81E-20	1.11E-21	1.95E-18	3.01E-20	1.08E-19	1.14E-21	1.60E-21	3.10E-21
3.27E+02	1.65E+14	0.00E+00	5.20E-20	0.00E+00	0.00E+00	0.00E+00	7.64E-19	1.85E-18	2.95E-19	2.00E-21	3.20E-19	3.90E-18	3.97E-20	3.77E-20	9.85E-22	1.86E-18	2.79E-20	1.01E-19	1.02E-21	1.46E-21	2.77E-21
3.28E+02	1.58E+14	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.06E-19	1.72E-18	3.06E-19	1.80E-21	3.17E-19	3.86E-18	3.77E-20	3.74E-20	8.71E-22	1.78E-18	2.58E-20	9.41E-20	9.20E-22	1.33E-21	2.49E-21
3.29E+02	1.66E+14	0.00E+00	8.89E-20	0.00E+00	0.00E+00	0.00E+00	6.58E-19	1.60E-18	3.18E-19	1.62E-21	3.15E-19	3.83E-18	3.56E-20	3.70E-20	7.71E-22	1.70E-18	2.36E-20	8.72E-20	8.28E-22	1.21E-21	2.24E-21
3.30E+02	1.84E+14	0.00E+00	4.34E-22	0.00E+00	0.00E+00	0.00E+00	6.08E-19	1.49E-18	3.29E-19	1.45E-21	3.12E-19	3.80E-18	3.36E-20	3.67E-20	6.84E-22	1.62E-18	2.14E-20	8.02E-20	7.43E-22	1.10E-21	2.02E-21
3.31E+02	1.65E+14	0.00E+00	7.66E-20	0.00E+00	0.00E+00	0.00E+00	5.61E-19	1.39E-18	3.37E-19	1.30E-21	3.19E-19	3.79E-18	3.24E-20	3.63E-20	6.08E-22	1.53E-18	1.99E-20	7.52E-20	6.62E-22	9.98E-22	1.81E-21
3.32E+02	1.66E+14	0.00E+00	5.47E-20	0.00E+00	0.00E+00	0.00E+00	5.19E-19	1.30E-18	3.45E-19	1.16E-21	3.27E-19	3.78E-18	3.12E-20	3.59E-20	5.42E-22	1.45E-18	1.84E-20	7.02E-20	5.87E-22	9.01E-22	1.62E-21
3.33E+02	1.62E+14	0.00E+00	6.90E-20	0.00E+00	0.00E+00	0.00E+00	4.81E-19	1.22E-18	3.54E-19	1.04E-21	3.34E-19	3.76E-18	2.99E-20	3.56E-20	4.85E-22	1.37E-18	1.70E-20	6.52E-20	5.17E-22	8.08E-22	1.45E-21
3.34E+02	1.61E+14	0.00E+00	7.31E-20	0.00E+00	0.00E+00	0.00E+00	4.47E-19	1.15E-18	3.62E-19	9.28E-22	3.42E-19	3.75E-18	2.87E-20	3.52E-20	4.34E-22	1.29E-18	1.55E-20	6.02E-20	4.56E-22	7.17E-22	1.29E-21
3.35E+02	1.70E+14	0.00E+00	1.87E-19	0.00E+00	0.00E+00	0.00E+00	4.15E-19	1.07E-18	3.70E-19	8.28E-22	3.49E-19	3.74E-18	2.75E-20	3.48E-20	3.88E-22	1.21E-18	1.40E-20	5.52E-20	4.03E-22	6.27E-22	1.15E-21
3.36E+02	1.51E+14	0.00E+00	1.70E-19	0.00E+00	0.00E+00	0.00E+00	3.92E-19	1.00E-18	3.73E-19	7.40E-22	3.54E-19	3.71E-18	2.63E-20	3.44E-20	3.46E-22	1.13E-18	1.30E-20	5.12E-20	3.60E-22	0.00E+00	1.03E-21
3.37E+02	1.39E+14	0.00E+00	2.24E-20	0.00E+00	0.00E+00	0.00E+00	3.72E-19	9.32E-19	3.76E-19	6.60E-22	3.59E-19	3.68E-18	2.51E-20	3.40E-20	3.07E-22	1.06E-18	1.20E-20	4.71E-20	3.25E-22	0.00E+00	9.28E-22
3.38E+02	1.57E+14	0.00E+00	2.21E-19	0.00E+00	0.00E+00	0.00E+00	3.51E-19	8.63E-19	3.79E-19	5.91E-22	3.63E-19	3.66E-18	2.38E-20	3.37E-20	2.72E-22	9.82E-19	1.10E-20	4.31E-20	2.96E-22	0.00E+00	8.39E-22
3.39E+02	1.65E+14	0.00E+00	2.65E-19	0.00E+00	0.00E+00	0.00E+00	3.33E-19	8.09E-19	3.82E-19	5.28E-22	3.68E-19	3.63E-18	2.26E-20	3.33E-20	2.40E-22	9.07E-19	1.00E-20	3.90E-20	2.70E-22	0.00E+00	7.60E-22
3.40E+02	1.81E+14	0.00E+00	3.36E-19	0.00E+00	0.00E+00	0.00E+00	3.19E-19	7.59E-19	3.85E-19	4.70E-22	3.73E-19	3.60E-18	2.14E-20	3.29E-20	2.12E-22	8.33E-19	9.06E-21	3.50E-20	2.46E-22	0.00E+00	6.88E-22
3.41E+02	1.67E+14	0.00E+00	2.46E-19	0.00E+00	0.00E+00	0.00E+00	2.96E-19	7.15E-19	3.83E-19	0.00E+00	3.73E-19	3.58E-18	2.07E-20	3.27E-20	1.87E-22	7.74E-19	8.39E-21	3.25E-20	2.21E-22	0.00E+00	6.21E-22
3.42E+02	1.71E+14	0.00E+00	3.42E-19	0.00E+00	0.00E+00	0.00E+00	2.82E-19	6.70E-19	3.82E-19	0.00E+00	3.73E-19	3.55E-18	2.00E-20	3.25E-20	1.65E-22	7.15E-19	7.71E-21	3.00E-20	1.97E-22	0.00E+00	5.57E-22
3.43E+02	1.80E+14	0.00E+00	4.02E-19	0.00E+00	0.00E+00	0.00E+00	2.70E-19	6.24E-19	3.80E-19	0.00E+00	3.73E-19	3.53E-18	1.93E-20	3.23E-20	1.46E-22	6.55E-19	7.04E-21	2.74E-20	1.73E-22	0.00E+00	5.00E-22
3.44E+02	1.48E+14	0.00E+00	5.50E-19	0.00E+00	0.00E+00	0.00E+00	2.65E-19	5.77E-19	3.79E-19	0.00E+00	3.73E-19	3.50E-18	1.86E-20	3.21E-20	1.29E-22	5.96E-19	6.36E-21	2.49E-20	1.51E-22	0.00E+00	4.47E-22
3.45E+02	1.59E+14	0.00E+00	5.80E-19	0.00E+00	0.00E+00	0.00E+00	2.60E-19	5.20E-19	3.77E-19	0.00E+00	3.73E-19	3.48E-18	1.80E-20	3.20E-20	1.14E-22	5.37E-19	5.69E-21	2.24E-20	1.33E-22	0.00E+00	4.02E-22
3.46E+02	1.64E+14	0.00E+00	6.03E-19	0.00E+00	0.00E+00	0.00E+00	2.57E-19	4.63E-19	3.71E-19	0.00E+00	3.58E-19	3.45E-18	1.73E-20	3.18E-20	1.01E-22	4.95E-19	5.25E-21	2.07E-20	1.18E-22	0.00E+00	3.63E-22
3.47E+02	1.69E+14	0.00E+00	6.23E-19	0.00E+00	0.00E+00	0.00E+00	2.61E-19	4.10E-19	3.65E-19	0.00E+00	3.43E-19	3.42E-18	1.66E-20	3.16E-20	8.90E-23	4.53E-19	4.81E-21	1.91E-20	1.07E-22	0.00E+00	3.31E-22
3.48E+02	1.62E+14	0.00E+00	8.12E-19	0.00E+00	0.00E+00	0.00E+00	2.61E-19	3.61E-19	3.59E-19	0.00E+00	3.28E-19	3.40E-18	1.59E-20	3.14E-20	7.85E-23	4.10E-19	4.38E-21	1.74E-20	9.81E-23	0.00E+00	3.02E-22
3.49E+02	1.58E+14	0.00E+00	9.48E-19	0.00E+00	0.00E+00	0.00E+00	2.57E-19	3.17E-19	3.53E-19	0.00E+00	3.13E-19	3.37E-18	1.52E-20	3.12E-20	6.92E-23	3.68E-19	3.94E-21	1.58E-20	9.07E-23	0.00E+00	2.77E-22
3.50E+02	1.78E+14	0.00E+00	9.69E-19	0.00E+00	0.00E+00	0.00E+00	2.55E-19	2.80E-19	3.47E-19	0.00E+00	2.98E-19	3.34E-18	1.45E-20	3.10E-20	6.09E-23	3.26E-19	3.50E-21	1.41E-20	8.40E-23	0.00E+00	2.53E-22
3.51E+02	1.86E+14	0.00E+00	9.43E-19	0.00E+00	0.00E+00	0.00E+00	2.51E-19	2.44E-19	3.38E-19	0.00E+00	2.97E-19	3.30E-18	1.46E-20	3.14E-20	5.35E-23	2.99E-19	3.25E-21	1.29E-20	7.72E-23	0.00E+00	2.29E-22
3.52E+02	1.74E+14	0.00E+00	1.10E-18	0.00E+00	0.00E+00	0.00E+00	2.45E-19	2.24E-19	3.30E-19	0.00E+00	2.97E-19	3.27E-18	1.46E-20	3.18E-20	4.69E-23	2.72E-19	3.00E-21	1.17E-20	7.02E-23	0.00E+00	2.07E-22
3.53E+02	1.74E+14	0.00E+00	1.22E-18	0.00E+00	0.00E+00	0.00E+00	2.41E-19	1.96E-19	3.21E-19	0.00E+00	2.96E-19	3.23E-18	1.47E-20	3.23E-20	4.12E-23	2.46E-19	2.75E-21	1.05E-20	6.32E-23	0.00E+00	1.85E-22
3.54E+02	2.02E+14	0.00E+00	1.39E-18	0.00E+00	0.00E+00	0.00E+00	2.37E-19	1.82E-19	3.13E-19	0.00E+00	2.96E-19	3.20E-18	1.48E-20	3.27E-20	3.62E-23	2.19E-19	2.50E-21	9.36E-21	5.60E-23	0.00E+00	1.66E-22
3.55E+02	2.04E+14	0.00E+00	1.38E-18	0.00E+00	0.00E+00	0.00E+00	2.30E-19	1.64E-19	3.04E-19	0.00E+00	2.95E-19	3.16E-18	1.49E-20	3.31E-20	3.20E-23	1.92E-19	2.25E-21	8.17E-21	4.88E-23	0.00E+00	1.50E-22
3.56E+02	1.84E+14	0.00E+00	1.35E-18	0.00E+00	0.00E+00	0.00E+00	2.23E-19	1.48E-19	2.95E-19	0.00E+00	2.90E-19	3.12E-18	1.49E-20	3.35E-20	2.85E-23	1.75E-19	2.07E-21	7.53E-21	0	0.00E+00	1.37E-22
3.57E+02	1.51E+14	0.00E+00	1.61E-18	0.00E+00	0.00E+00	0.00E+00	2.17E-19	1.41E-19	2.86E-19	0.00E+00	2.85E-19	3.07E-18	1.50E-20	3.39E-20	2.56E-23	1.59E-19	1.88E-21	6.89E-21	0	0.00E+00	1.27E-22
