Wavelength	Actinic_flux	SIG	SIGNO3	PHINO3A	PHINO3B
6.42E+02	5.20E+14	2.94E-21	0.00E+00	0	0
6.43E+02	5.26E+14	2.88E-21	0.00E+00	0	0
6.44E+02	5.23E+14	2.84E-21	0.00E+00	0	0
6.45E+02	5.28E+14	2.80E-21	0.00E+00	0	0
6.46E+02	5.17E+14	2.75E-21	0.00E+00	0	0
6.47E+02	5.23E+14	2.70E-21	0.00E+00	0	0
6.48E+02	5.23E+14	2.65E-21	0.00E+00	0	0
6.49E+02	5.07E+14	2.62E-21	0.00E+00	0	0
6.50E+02	4.99E+14	2.58E-21	0.00E+00	0	0
6.51E+02	5.29E+14	2.53E-21	0.00E+00	0	0
6.52E+02	5.22E+14	2.49E-21	0.00E+00	0	0
6.53E+02	5.25E+14	2.46E-21	0.00E+00	0	0
6.54E+02	5.19E+14	2.41E-21	0.00E+00	0	0
6.55E+02	5.02E+14	2.37E-21	0.00E+00	0	0
6.56E+02	4.37E+14	2.33E-21	0.00E+00	0	0
6.57E+02	4.58E+14	2.29E-21	0.00E+00	0	0
6.58E+02	5.10E+14	2.25E-21	0.00E+00	0	0
6.59E+02	5.12E+14	2.22E-21	0.00E+00	0	0
6.60E+02	5.18E+14	2.18E-21	0.00E+00	0	0
6.61E+02	5.21E+14	2.14E-21	0.00E+00	0	0
6.62E+02	5.24E+14	2.11E-21	0.00E+00	0	0
6.63E+02	5.22E+14	2.07E-21	0.00E+00	0	0
6.64E+02	5.20E+14	2.02E-21	0.00E+00	0	0
6.65E+02	5.25E+14	1.98E-21	0.00E+00	0	0
6.66E+02	5.21E+14	1.93E-21	0.00E+00	0	0
6.67E+02	5.16E+14	1.90E-21	0.00E+00	0	0
6.68E+02	5.16E+14	1.86E-21	0.00E+00	0	0
6.69E+02	5.25E+14	1.81E-21	0.00E+00	0	0
6.70E+02	5.17E+14	1.77E-21	0.00E+00	0	0
6.71E+02	5.17E+14	1.73E-21	0.00E+00	0	0
6.72E+02	5.10E+14	1.70E-21	0.00E+00	0	0
6.73E+02	5.14E+14	1.66E-21	0.00E+00	0	0
6.74E+02	5.13E+14	1.63E-21	0.00E+00	0	0
6.75E+02	5.09E+14	1.59E-21	0.00E+00	0	0
6.76E+02	5.16E+14	1.56E-21	0.00E+00	0	0
6.77E+02	5.11E+14	1.53E-21	0.00E+00	0	0
6.78E+02	5.14E+14	1.50E-21	0.00E+00	0	0
6.79E+02	5.10E+14	1.47E-21	0.00E+00	0	0
6.80E+02	5.12E+14	1.45E-21	0.00E+00	0	0
6.81E+02	5.10E+14	1.43E-21	0.00E+00	0	0
6.82E+02	5.13E+14	1.41E-21	0.00E+00	0	0
6.83E+02	5.08E+14	1.39E-21	0.00E+00	0	0
6.84E+02	5.05E+14	1.37E-21	0.00E+00	0	0
6.85E+02	5.05E+14	1.35E-21	0.00E+00	0	0
6.86E+02	4.95E+14	1.32E-21	0.00E+00	0	0
6.87E+02	5.09E+14	1.28E-21	0.00E+00	0	0
6.88E+02	5.11E+14	1.25E-21	0.00E+00	0	0
