Wavelength	Actinix_flux	Br2	BrO	HOBr	BrNO2	BrNO3
3.98E+02	2.61E+14	5.53E-19	0.00E+00	2.75E-20	1.43E-19	2.35E-20
3.99E+02	3.26E+14	5.64E-19	0.00E+00	2.59E-20	1.41E-19	2.30E-20
4.00E+02	3.40E+14	5.74E-19	0.00E+00	2.43E-20	1.40E-19	2.25E-20
4.01E+02	3.54E+14	5.83E-19	0.00E+00	2.30E-20	1.40E-19	2.20E-20
4.02E+02	3.67E+14	5.92E-19	0.00E+00	2.18E-20	1.40E-19	2.15E-20
4.03E+02	3.53E+14	6.01E-19	0.00E+00	2.05E-20	1.40E-19	2.09E-20
4.04E+02	3.59E+14	6.09E-19	0.00E+00	1.93E-20	1.40E-19	2.04E-20
4.05E+02	3.50E+14	6.16E-19	0.00E+00	1.80E-20	1.40E-19	1.99E-20
4.06E+02	3.41E+14	6.22E-19	0.00E+00	1.71E-20	1.39E-19	1.95E-20
4.07E+02	3.34E+14	6.28E-19	0.00E+00	1.62E-20	1.37E-19	1.92E-20
4.08E+02	3.49E+14	6.33E-19	0.00E+00	1.54E-20	1.35E-19	1.88E-20
4.09E+02	3.73E+14	6.38E-19	0.00E+00	1.45E-20	1.32E-19	1.85E-20
4.10E+02	3.17E+14	6.42E-19	0.00E+00	1.36E-20	1.30E-19	1.81E-20
4.11E+02	3.55E+14	6.45E-19	0.00E+00	1.30E-20	1.28E-19	1.78E-20
4.12E+02	3.77E+14	6.48E-19	0.00E+00	1.25E-20	1.26E-19	1.75E-20
4.13E+02	3.62E+14	6.49E-19	0.00E+00	1.19E-20	1.24E-19	1.71E-20
4.14E+02	3.57E+14	6.51E-19	0.00E+00	1.14E-20	1.22E-19	1.69E-20
4.15E+02	3.70E+14	6.51E-19	0.00E+00	1.08E-20	1.20E-19	1.66E-20
4.16E+02	3.80E+14	6.51E-19	0.00E+00	1.06E-20	1.18E-19	1.63E-20
4.17E+02	3.71E+14	6.51E-19	0.00E+00	1.03E-20	1.16E-19	1.59E-20
